 -1.39626 -0.785398         0  -2.18166         0   1.39626        -0	 0 -0 -0  0  0 -0 -0
 -1.39567 -0.785397  0.000126  -2.18166  0.000251   1.39626  0.000134	 1.19067  0.00212 0.251478 0.010505 0.501522  0.00146  0.26876
 -1.39391 -0.785394   0.00049  -2.18164  0.000977   1.39627  0.000524	 2.33323 0.004395 0.477097 0.020262 0.951454 0.004136  0.50989
 -1.39102 -0.785389  0.001068  -2.18162   0.00213   1.39627  0.001141	 3.42916  0.00671 0.678626 0.029397  1.35333 0.007236  0.72528
 -1.38707 -0.785381  0.001836  -2.18158  0.003662   1.39628  0.001962	 4.47987 0.008975 0.857734 0.038009  1.71048 0.010153 0.916711
 -1.38209 -0.785371  0.002773  -2.18154   0.00553   1.39629  0.002964	 5.48676 0.011121  1.01599 0.046176  2.02603 0.012445  1.08586
 -1.37612 -0.785359  0.003858  -2.18149  0.007694    1.3963  0.004124	 6.45118 0.013098  1.15488 0.053954  2.30295 0.013805   1.2343
 -1.36921 -0.785345  0.005074  -2.18143  0.010118   1.39631  0.005423	 7.37444  0.01487  1.27579 0.061388    2.544 0.014035  1.36353
-1.36139 -0.78533 0.006402 -2.18137 0.012766  1.39633 0.006842	 8.25781 0.016414  1.38003 0.068509   2.7518 0.013023  1.47494
 -1.35271 -0.785313  0.007826  -2.18129  0.015606   1.39634  0.008364	 9.10254 0.017718  1.46883 0.075339   2.9288 0.010733  1.56984
  -1.3432 -0.785295  0.009332  -2.18122  0.018609   1.39634  0.009974	 9.90984 0.018778  1.54334 0.081891   3.0773 0.007184  1.64947
 -1.33291 -0.785276  0.010906  -2.18113  0.021747   1.39635  0.011656	 10.6809 0.019595  1.60465 0.088174  3.19948 0.002438  1.71499
 -1.32184 -0.785255  0.012541  -2.18104  0.025008   1.39636  0.013404	 11.4518 0.022603  1.66625 0.091966   3.3217  0.01163  1.78035
 -1.31004 -0.785232  0.014226  -2.18094  0.028366   1.39636  0.015204	 12.1523 0.022825  1.70307 0.097831  3.39508 0.003854  1.81974
-1.29755 -0.78521 0.015942 -2.18084 0.031788  1.39636 0.017038	  12.8199  0.022845   1.72964  0.103429   3.44801 -0.004729   1.84817
 -1.28442 -0.785187  0.017681  -2.18074  0.035253   1.39635  0.018895	  13.4557  0.022681   1.74678  0.108755   3.48216 -0.013973   1.86654
 -1.27066 -0.785165  0.019432  -2.18063  0.038744   1.39633  0.020766	  14.0607  0.022352   1.75529  0.113807   3.49909 -0.023728   1.87569
 -1.25631 -0.785143  0.021187  -2.18051  0.042243    1.3963  0.022642	 14.6358 0.021877  1.75588  0.11858  3.50026 -0.03384  1.87641
  -1.2414 -0.785121   0.02294  -2.18039  0.045737   1.39626  0.024515	  15.1822  0.021277   1.74927  0.123071   3.48707 -0.044163   1.86945
-1.22596  -0.7851 0.024682 -2.18026 0.049211  1.39621 0.026378	  15.7005   0.02057   1.73608  0.127275   3.46078 -0.054555   1.85548
-1.21001 -0.78508 0.026409 -2.18013 0.052652  1.39615 0.028223	  16.1919  0.019778   1.71692  0.131192   3.42262 -0.064882   1.83516
 -1.19359 -0.785061  0.028113     -2.18  0.056051   1.39608  0.030045	  16.6572  0.018917   1.69236  0.134819    3.3737 -0.075018   1.80909
 -1.17671 -0.785042  0.029791  -2.17986  0.059395     1.396  0.031839	  17.0972  0.018007   1.66292  0.138157   3.31508 -0.084849   1.77784
 -1.15941 -0.785025  0.031437  -2.17972  0.062676   1.39591  0.033599	  17.5127  0.017064   1.62911  0.141204   3.24774 -0.094271   1.74194
  -1.1417 -0.785008  0.033047  -2.17958  0.065886   1.39581  0.035321	  17.9047  0.016103   1.59137  0.143964    3.1726 -0.103192   1.70187
